peptide,site_stated_typical_range,cycle_guidance,source_url
"5-Amino-1MQ","2.5–5 mg once or twice daily","No explicit cycle length; daily protocol","https://peptidedosages.com/single-peptide-dosages/5-amino-1mq-10-mg-vial-dosage-protocol/"
"Adamax","500–1000 µg once daily","8–12 weeks; optional extension to 16 weeks","https://peptidedosages.com/single-peptide-dosages/adamax-10-mg-vial-dosage-protocol/"
"Adipotide","250–1000 mcg daily","4–8 weeks; extend with extreme caution","https://peptidedosages.com/single-peptide-dosages/adipotide-10-mg-vial-dosage-protocol/"
"AICAR","1,000–3,000 mcg daily; up to 5,000 mcg advanced","8–12 weeks","https://peptidedosages.com/single-peptide-dosages/aicar-50-mg-vial-dosage-protocol/"
"AOD-9604","300–500 mcg once daily","8–12 weeks; optional extension to 16 weeks","https://peptidedosages.com/single-peptide-dosages/aod-9604-2-mg-vial-dosage-protocol/"
"Ara-290","2–4 mg daily; 4 mg target","4–8 weeks standard; may extend to 16 weeks","https://peptidedosages.com/single-peptide-dosages/ara-290-16-mg-vial-dosage-protocol/"
"BPC-157","200–600 mcg once daily","8–12 weeks; optional extension to 16 weeks","https://peptidedosages.com/single-peptide-dosages/bpc-157-5-mg-vial-dosage-protocol/"
"Cagrilintide","0.6–4.5 mg once weekly","12–16 weeks or longer as appropriate","https://peptidedosages.com/single-peptide-dosages/cagrilintide-5-mg-vial-dosage-protocol/"
"Cartalax","2,000–5,000 mcg daily","8–12 weeks; optional extension to 16 weeks","https://peptidedosages.com/single-peptide-dosages/cartalax-20-mg-vial-dosage-protocol/"
"Cerebrolysin","20–32 mg daily; split doses above 20 mg","8–12 weeks; optional extension to 16 weeks","https://peptidedosages.com/single-peptide-dosages/cerebrolysin-60-mg-vial-dosage-protocol/"
"Chonluten","250–4,000 mcg once daily","8–16 weeks; 8–12 weeks acceptable","https://peptidedosages.com/single-peptide-dosages/chonluten-20-mg-vial-dosage-protocol/"
"CJC-1295 DAC","2 mg once weekly; 1 mg conservative option","8–12 weeks; optional 4-week break","https://peptidedosages.com/single-peptide-dosages/cjc-1295-dac-2-mg-vial-dosage-protocol/"
"CJC-1295 NO DAC","100–300 mcg once daily","8–12 weeks; optional extension to 16 weeks","https://peptidedosages.com/single-peptide-dosages/cjc-1295-no-dac-5-mg-vial-dosage-protocol/"
"Cortagen","1,000–2,000 mcg once daily","4 weeks standard; optional extension to 8 weeks","https://peptidedosages.com/single-peptide-dosages/cortagen-20-mg-vial-dosage-protocol/"
"DSIP","100–300 mcg daily; advanced up to 500 mcg","4–8 weeks; optional extension to 12 weeks with breaks","https://peptidedosages.com/single-peptide-dosages/dsip-5-mg-vial-dosage-protocol/"
"Epitalon (Epithalon)","5 mg once daily for 20 consecutive days","20 days on, then 4–6 months off","https://peptidedosages.com/single-peptide-dosages/epitalon-epithalon-10-mg-vial-dosage-protocol/"
"FOXO4-DRI","250–500 mcg once daily","8–16 weeks; longer cycles may use intermittent dosing","https://peptidedosages.com/single-peptide-dosages/foxo4-dri-10-mg-vial-dosage-protocol/"
"GHK-Cu","1–2 mg once daily, 5 days/week; alternative 2 mg 3×/week","Main table 8–12+ weeks; supplies through 16 weeks","https://peptidedosages.com/single-peptide-dosages/ghk-cu-50-mg-vial-dosage-protocol/"
"GHRP-2","100–300 mcg once daily","8–16 weeks","https://peptidedosages.com/single-peptide-dosages/ghrp-2-5-mg-vial-dosage-protocol/"
"GHRP-6","300–900 mcg total daily, split into 3 doses","8–12 weeks","https://peptidedosages.com/single-peptide-dosages/ghrp-6-2-mg-vial-dosage-protocol/"
"Glutathione","100–200 mg subcutaneously","4–8 weeks; 2–4 weeks off between protocols","https://peptidedosages.com/single-peptide-dosages/glutathione-600-mg-vial-dosage-protocol/"
"Gonadorelin","50–250 mcg per injection, 2–3× weekly","4–8 weeks; include off-periods","https://peptidedosages.com/single-peptide-dosages/gonadorelin-2-mg-vial-dosage-protocol/"
"HCG","500 IU per injection maintenance; 1,500–2,500 IU high-dose recovery","8–12 weeks typical; 16+ weeks for severe suppression","https://peptidedosages.com/single-peptide-dosages/hcg-5000-iu-vial-dosage-protocol/"
"HGH 191AA","150–500 mcg conservative; 1,000–2,000 mcg advanced","8–12 weeks; optional extension to 16 weeks","https://peptidedosages.com/single-peptide-dosages/hgh-191aa-10-iu-vial-dosage-protocol/"
"HMG","75 IU per injection, 3× weekly","Minimum 12 weeks; may extend to 16 weeks","https://peptidedosages.com/single-peptide-dosages/hmg-75-iu-vial-dosage-protocol/"
"IGF-1 LR3","20–50 mcg once daily","8 weeks standard; 12-week protocols exist","https://peptidedosages.com/single-peptide-dosages/igf-1-lr3-1-mg-vial-dosage-protocol/"
"Ipamorelin","100–250 mcg once daily","8–12 weeks; optional 16 weeks, then 2–4 weeks off","https://peptidedosages.com/single-peptide-dosages/ipamorelin-5-mg-vial-dosage-protocol/"
"Kisspeptin","100–200 mcg once daily","8–12 weeks; avoid prolonged continuous use","https://peptidedosages.com/single-peptide-dosages/kisspeptin-10-mg-vial-dosage-protocol/"
"KPV","200–500 mcg once daily","8–12 weeks; optional extension to 16 weeks under monitoring","https://peptidedosages.com/single-peptide-dosages/kpv-10-mg-vial-dosage-protocol/"
"L-Carnitine","50–100 mg once daily; up to 200 mg advanced","8–12 weeks; optional extension to 16 weeks","https://peptidedosages.com/single-peptide-dosages/l-carnitine-200-mg-vial-dosage-protocol/"
"Livagen","0.5–2.0 mg once daily","8–12 weeks; optional extension to 16 weeks","https://peptidedosages.com/single-peptide-dosages/livagen-20-mg-vial-dosage-protocol/"
"LL-37","100–400 µg once daily","8–12 weeks; optional extension to 16 weeks","https://peptidedosages.com/single-peptide-dosages/ll-37-5-mg-vial-dosage-protocol/"
"Mazdutide","2.5–6 mg once weekly; up to 10 mg advanced","Minimum 8 weeks; evidence through 12–48 weeks","https://peptidedosages.com/single-peptide-dosages/mazdutide-5-mg-vial-dosage-protocol/"
"Melanotan II","250–1,000 mcg once daily","6–8 weeks initial tanning, then maintenance","https://peptidedosages.com/single-peptide-dosages/melanotan-ii-10-mg-vial-dosage-protocol/"
"MGF","100–300 mcg once daily","8–12 weeks; optional extension to 16 weeks","https://peptidedosages.com/single-peptide-dosages/mgf-5-mg-vial-dosage-protocol/"
"MOTS-C","500–1,500 mcg once daily","4–8 weeks on, followed by 4–8 weeks off; avoid continuous long-term use","https://peptidedosages.com/single-peptide-dosages/mots-c-5-mg-vial-dosage-protocol/"
"NAD+","50–100 mg once daily","8–16 weeks","https://peptidedosages.com/single-peptide-dosages/nad-500-mg-10ml-vial-dosage-protocol/"
"Ovagen","10–150 µg once daily","16 weeks","https://peptidedosages.com/single-peptide-dosages/ovagen-20-mg-vial-dosage-protocol/"
"Oxytocin","100–500 mcg once daily","8–12 weeks; optional extension to 16 weeks","https://peptidedosages.com/single-peptide-dosages/oxytocin-5-mg-vial-dosage-protocol/"
"PE-22-28","50–200 µg once daily","12–16 weeks; 8 weeks minimum","https://peptidedosages.com/single-peptide-dosages/pe-22-28-10-mg-vial-dosage-protocol/"
"PEG MGF","200–500 mcg once daily","8 weeks; optional extension to 12–16 weeks","https://peptidedosages.com/single-peptide-dosages/peg-mgf-2-mg-vial-dosage-protocol/"
"Pinealon","1.0–2.0 mg once daily for 10–20 days","10–20 days; repeat every 2–3 months","https://peptidedosages.com/single-peptide-dosages/pinealon-20-mg-vial-dosage-protocol/"
"PNC-27","100–500 mcg once daily","8–12 weeks; optional extension to 16 weeks","https://peptidedosages.com/single-peptide-dosages/pnc-27-30-mg-vial-dosage-protocol/"
"Prostamax","500 mcg–1 mg once daily","8–12 weeks; optional extension to 16 weeks","https://peptidedosages.com/single-peptide-dosages/prostamax-20-mg-vial-dosage-protocol/"
"PT-141","500–1,500 mcg once daily","8–12 weeks; optional extension to 16 weeks","https://peptidedosages.com/single-peptide-dosages/pt-141-10-mg-vial-dosage-protocol/"
"Retatrutide","2–12 mg once weekly","Minimum 24 weeks; trials through 48 weeks","https://peptidedosages.com/single-peptide-dosages/retatrutide-5-mg-vial-dosage-protocol/"
"Selank","2.7 mg/day intranasal (36 drops divided 3 administrations); 0.2 mg single exposure reported","14-day manufacturer course; protocol page is calculation-focused","https://peptidedosages.com/single-peptide-dosages/selank-5-mg-vial-dosage-protocol/"
"Semaglutide","0.25–2.4 mg once weekly","16–20+ weeks with gradual escalation","https://peptidedosages.com/single-peptide-dosages/semaglutide-5-mg-vial-dosage-protocol/"
"Semax","0.25 mg or 1 mg intranasal exposures; 1.2 mg single exposure reported","No repeated cycle stated; protocol page is calculation-focused","https://peptidedosages.com/single-peptide-dosages/semax-5-mg-vial-dosage-protocol/"
"Sermorelin","200–500 µg once daily at bedtime","3–6 months adult research; pediatric trials 6–12 months","https://peptidedosages.com/single-peptide-dosages/sermorelin-5-mg-vial-dosage-protocol/"
"SLU-PP-332","1,250–2,500 mcg/day for a 25 g mouse, divided twice daily","8 weeks in published studies","https://peptidedosages.com/single-peptide-dosages/slu-pp-332-5-mg-vial-dosage-protocol/"
"SNAP-8","0.0015%–0.005% active peptide in finished topical formulation","Twice daily for 28 days in manufacturer testing; other study schedules vary","https://peptidedosages.com/single-peptide-dosages/snap-8-10-mg-vial-dosage-protocol/"
"SS-31","5–10 mg once daily; 15–20 mg advanced","8–12 weeks; limited data beyond 12 weeks","https://peptidedosages.com/single-peptide-dosages/ss-31-10-mg-vial-dosage-protocol/"
"Survodutide","0.6–6.0 mg once weekly","12–16 weeks minimum; phase 3 trials 48–72 weeks","https://peptidedosages.com/single-peptide-dosages/survodutide-10-mg-vial-dosage-protocol/"
"TB-500","500–1,000 mcg once daily","8–12 weeks; optional extension to 16 weeks","https://peptidedosages.com/single-peptide-dosages/tb-500-5-mg-vial-dosage-protocol/"
"Tesamorelin","1 mg daily week 1; 2 mg daily thereafter","12–26 weeks; clinical trials up to 52 weeks with monitoring","https://peptidedosages.com/single-peptide-dosages/tesamorelin-5-mg-vial-dosage-protocol/"
"Testagen","100–300 mcg once daily","8–12 weeks; optional extension to 16 weeks","https://peptidedosages.com/single-peptide-dosages/testagen-20-mg-vial-dosage-protocol/"
"Thymosin Alpha-1","300–500 mcg once daily","8–12 weeks; optional extension to 16 weeks","https://peptidedosages.com/single-peptide-dosages/thymosin-alpha-1-5-mg-vial-dosage-protocol/"
"Tirzepatide","2.5–15 mg once weekly","12–16+ weeks","https://peptidedosages.com/single-peptide-dosages/tirzepatide-5-mg-vial-dosage-protocol/"
"Vesugen (Lys-Glu-Asp)","500–2,000 mcg once daily","8–12 weeks; optional extension to 16 weeks","https://peptidedosages.com/single-peptide-dosages/vesugen-20-mg-vial-dosage-protocol/"
"Vilon","67–667 mcg daily for 5 consecutive days","5 days on, about 23 days off; repeat 2–4 cycles","https://peptidedosages.com/single-peptide-dosages/vilon-20-mg-vial-dosage-protocol/"
